|| 2022:04:18-15:27:30 || message log level: MAX || global log level: STANDARD ||Starting Cron... ||
|| 2022:04:18-15:27:42 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:04:18-15:27:42 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: add -r 0000:00:00:00:00:05 /home/sebastian/test_task ||
|| 2022:04:18-15:27:42 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: add -r 0000:00:00:00:00:05 /home/sebastian/test_task ||
|| 2022:04:18-15:27:57 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:04:18-15:27:57 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: list ||
|| 2022:04:18-15:27:57 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: list ||
|| 2022:04:18-15:28:11 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:04:18-15:28:11 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: add -r 0000:00:00:00:00:05 /home/sebastian/test_task seba jest cool ||
|| 2022:04:18-15:28:11 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: add -r 0000:00:00:00:00:05 /home/sebastian/test_task seba jest cool ||
|| 2022:04:18-15:28:14 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:04:18-15:28:14 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: list ||
|| 2022:04:18-15:28:14 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: list ||
|| 2022:04:18-15:28:27 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:04:18-15:28:27 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: list ||
|| 2022:04:18-15:28:27 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: list ||
|| 2022:04:18-15:28:56 || message log level: MAX || global log level: STANDARD ||Starting Cron... ||
|| 2022:04:18-15:29:05 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:04:18-15:29:05 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: add -r 0000:00:00:00:00:05 /home/sebastian/test_task seba jest cool ||
|| 2022:04:18-15:29:05 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: add -r 0000:00:00:00:00:05 /home/sebastian/test_task seba jest cool ||
|| 2022:04:18-15:38:53 || message log level: MAX || global log level: STANDARD ||Starting Cron... ||
|| 2022:04:18-15:38:59 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:04:18-15:38:59 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: add -r 0000:00:00:00:00:05 /home/sebastian/test_task seba jest cool ||
|| 2022:04:18-15:38:59 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: add -r 0000:00:00:00:00:05 /home/sebastian/test_task seba jest cool ||
|| 2022:04:18-15:39:25 || message log level: MAX || global log level: STANDARD ||Starting Cron... ||
|| 2022:04:18-15:39:30 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:04:18-15:39:30 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: add -r 0000:00:00:00:00:05 /home/sebastian/test_task seba jest cool ||
|| 2022:04:18-15:45:55 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: add -r 0000:00:00:00:00:05 /home/sebastian/test_task seba jest cool ||
|| 2022:04:18-15:46:09 || message log level: MAX || global log level: STANDARD ||Starting Cron... ||
|| 2022:04:18-15:46:20 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:04:18-15:46:20 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: add -r 0000:00:00:00:00:05 /home/sebastian/test_task seba jest cool ||
|| 2022:04:18-15:46:20 || message log level: STANDARD || global log level: STANDARD ||Handled Cron command: add -r 0000:00:00:00:00:05 /home/sebastian/test_task seba jest cool ||
|| 2022:04:18-15:48:22 || message log level: MAX || global log level: STANDARD ||Starting Cron... ||
|| 2022:04:18-15:48:25 || message log level: STANDARD || global log level: STANDARD ||Started handling Cron command. ||
|| 2022:04:18-15:48:25 || message log level: STANDARD || global log level: STANDARD ||Cron command being handled: add -r 0000:00:00:00:00:05 /home/sebastian/test_task seba jest cool ||
